nm,HL,LL,HL_2,LL_2,HL_UB,HL_LB,LL_UB,LL_LB
638,6.19E-09,1.65E-08,6.62E-09,1.68E-08,6.62721E-09,5.75166E-09,1.742E-08,1.561E-08
639,6.13E-09,1.67E-08,6.53E-09,1.73E-08,6.56706E-09,5.69305E-09,1.792E-08,1.551E-08
640,6.00E-09,1.68E-08,6.53E-09,1.76E-08,6.26852E-09,5.73099E-09,1.804E-08,1.564E-08
641,5.92E-09,1.70E-08,6.68E-09,1.78E-08,6.17936E-09,5.65681E-09,1.843E-08,1.562E-08
642,5.88E-09,1.70E-08,6.67E-09,1.82E-08,6.18746E-09,5.58148E-09,1.809E-08,1.582E-08
643,5.60E-09,1.66E-08,6.61E-09,1.87E-08,5.8727E-09,5.32901E-09,1.748E-08,1.567E-08
644,5.56E-09,1.62E-08,6.56E-09,1.85E-08,5.94047E-09,5.17224E-09,1.707E-08,1.532E-08
645,5.53E-09,1.58E-08,6.66E-09,1.83E-08,6.02116E-09,5.03725E-09,1.629E-08,1.526E-08
646,5.36E-09,1.52E-08,6.67E-09,1.82E-08,5.78755E-09,4.92306E-09,1.561E-08,1.482E-08
647,5.22E-09,1.49E-08,6.58E-09,1.80E-08,5.71882E-09,4.72577E-09,1.548E-08,1.440E-08
648,5.25E-09,1.47E-08,6.48E-09,1.75E-08,5.67E-09,4.83376E-09,1.526E-08,1.411E-08
649,5.16E-09,1.43E-08,6.35E-09,1.68E-08,5.61346E-09,4.71104E-09,1.506E-08,1.350E-08
650,5.18E-09,1.44E-08,6.52E-09,1.66E-08,5.53492E-09,4.83097E-09,1.515E-08,1.359E-08
651,5.23E-09,1.46E-08,6.67E-09,1.68E-08,5.68843E-09,4.77867E-09,1.529E-08,1.392E-08
652,5.31E-09,1.46E-08,6.62E-09,1.75E-08,5.82758E-09,4.78858E-09,1.504E-08,1.422E-08
653,5.45E-09,1.52E-08,6.92E-09,1.81E-08,6.12141E-09,4.77118E-09,1.556E-08,1.477E-08
654,5.63E-09,1.59E-08,7.11E-09,1.86E-08,6.39462E-09,4.87358E-09,1.634E-08,1.540E-08
655,5.81E-09,1.66E-08,7.35E-09,1.93E-08,6.62304E-09,5.00348E-09,1.698E-08,1.613E-08
656,6.10E-09,1.72E-08,7.51E-09,2.06E-08,6.82636E-09,5.36515E-09,1.780E-08,1.660E-08
657,6.42E-09,1.87E-08,7.72E-09,2.12E-08,7.2105E-09,5.62663E-09,1.904E-08,1.839E-08
658,6.98E-09,1.99E-08,8.10E-09,2.30E-08,7.72883E-09,6.22308E-09,2.009E-08,1.975E-08
659,7.46E-09,2.15E-08,8.64E-09,2.51E-08,8.05481E-09,6.87478E-09,2.205E-08,2.092E-08
660,8.22E-09,2.24E-08,9.37E-09,2.76E-08,8.97029E-09,7.46107E-09,2.269E-08,2.211E-08
661,8.98E-09,2.40E-08,1.02E-08,3.03E-08,9.60894E-09,8.36088E-09,2.495E-08,2.299E-08
662,9.75E-09,2.62E-08,1.16E-08,3.41E-08,1.0363E-08,9.14558E-09,2.738E-08,2.505E-08
663,1.07E-08,2.93E-08,1.27E-08,3.70E-08,1.13009E-08,1.00697E-08,3.102E-08,2.758E-08
664,1.18E-08,3.23E-08,1.41E-08,4.08E-08,1.2523E-08,1.10622E-08,3.448E-08,3.010E-08
665,1.26E-08,3.62E-08,1.58E-08,4.57E-08,1.34031E-08,1.17626E-08,3.849E-08,3.383E-08
666,1.36E-08,3.96E-08,1.75E-08,5.04E-08,1.44349E-08,1.27636E-08,4.184E-08,3.736E-08
667,1.46E-08,4.35E-08,1.89E-08,5.56E-08,1.53724E-08,1.37843E-08,4.577E-08,4.119E-08
668,1.56E-08,4.78E-08,2.04E-08,6.08E-08,1.62763E-08,1.48828E-08,5.188E-08,4.376E-08
669,1.63E-08,5.32E-08,2.23E-08,6.53E-08,1.70452E-08,1.54794E-08,5.745E-08,4.896E-08
670,1.72E-08,5.77E-08,2.38E-08,6.85E-08,1.82754E-08,1.6074E-08,6.361E-08,5.174E-08
671,1.79E-08,6.29E-08,2.51E-08,6.99E-08,1.8952E-08,1.68803E-08,6.833E-08,5.754E-08
672,1.87E-08,6.67E-08,2.57E-08,7.17E-08,1.98652E-08,1.74831E-08,7.191E-08,6.140E-08
673,1.93E-08,6.96E-08,2.63E-08,7.14E-08,2.04019E-08,1.82208E-08,7.557E-08,6.362E-08
674,1.98E-08,6.94E-08,2.70E-08,7.22E-08,2.10536E-08,1.86014E-08,7.595E-08,6.287E-08
675,2.02E-08,6.94E-08,2.73E-08,7.19E-08,2.1431E-08,1.88977E-08,7.459E-08,6.417E-08
676,2.03E-08,6.83E-08,2.76E-08,7.15E-08,2.20418E-08,1.85769E-08,7.363E-08,6.290E-08
677,2.00E-08,6.76E-08,2.76E-08,6.96E-08,2.1713E-08,1.82081E-08,7.291E-08,6.233E-08
678,1.97E-08,6.53E-08,2.76E-08,6.90E-08,2.14163E-08,1.79257E-08,7.159E-08,5.901E-08
679,1.93E-08,6.33E-08,2.70E-08,6.78E-08,2.11272E-08,1.75433E-08,7.095E-08,5.566E-08
680,1.88E-08,6.01E-08,2.68E-08,6.75E-08,2.04007E-08,1.71118E-08,6.785E-08,5.230E-08
681,1.83E-08,5.73E-08,2.62E-08,6.62E-08,1.97022E-08,1.68794E-08,6.674E-08,4.794E-08
682,1.81E-08,5.36E-08,2.54E-08,6.42E-08,1.93147E-08,1.68205E-08,6.246E-08,4.476E-08
683,1.74E-08,5.11E-08,2.44E-08,6.21E-08,1.86583E-08,1.61555E-08,5.802E-08,4.412E-08
684,1.68E-08,4.86E-08,2.32E-08,6.02E-08,1.8031E-08,1.55756E-08,5.450E-08,4.272E-08
685,1.59E-08,4.59E-08,2.22E-08,5.72E-08,1.71203E-08,1.47577E-08,5.031E-08,4.148E-08
686,1.53E-08,4.31E-08,2.09E-08,5.29E-08,1.65017E-08,1.40024E-08,4.732E-08,3.885E-08
687,1.41E-08,4.07E-08,1.95E-08,4.88E-08,1.52413E-08,1.30017E-08,4.406E-08,3.726E-08
688,1.31E-08,3.62E-08,1.78E-08,4.48E-08,1.40437E-08,1.20706E-08,3.865E-08,3.374E-08
689,1.20E-08,3.23E-08,1.62E-08,4.04E-08,1.31612E-08,1.07819E-08,3.379E-08,3.084E-08
690,1.07E-08,2.82E-08,1.48E-08,3.63E-08,1.15094E-08,9.80214E-09,2.912E-08,2.722E-08
691,9.51E-09,2.48E-08,1.32E-08,3.22E-08,1.03516E-08,8.67049E-09,2.549E-08,2.421E-08
692,8.38E-09,2.20E-08,1.16E-08,2.82E-08,8.99346E-09,7.77396E-09,2.208E-08,2.198E-08
693,7.19E-09,1.89E-08,9.96E-09,2.46E-08,7.66092E-09,6.70931E-09,1.952E-08,1.834E-08
694,6.32E-09,1.60E-08,8.54E-09,2.15E-08,6.54192E-09,6.09824E-09,1.656E-08,1.535E-08
695,5.47E-09,1.40E-08,7.42E-09,1.91E-08,5.64225E-09,5.30136E-09,1.461E-08,1.347E-08
696,4.82E-09,1.21E-08,6.48E-09,1.64E-08,5.00739E-09,4.62306E-09,1.239E-08,1.174E-08
697,4.26E-09,1.04E-08,5.53E-09,1.37E-08,4.63751E-09,3.87363E-09,1.082E-08,1.004E-08
698,3.76E-09,9.20E-09,4.70E-09,1.16E-08,4.23459E-09,3.27759E-09,9.697E-09,8.695E-09
699,3.30E-09,8.12E-09,4.04E-09,9.98E-09,3.82126E-09,2.78021E-09,8.554E-09,7.683E-09
700,3.12E-09,7.12E-09,3.32E-09,8.69E-09,3.66184E-09,2.58441E-09,7.601E-09,6.648E-09
